SKU,Variance
SKU141,18126.52368758004
SKU264,17940.274500147745
SKU216,17806.598468509685
SKU368,16867.696050428443
SKU12,16374.614793657043
SKU704,16315.045503791973
SKU204,16248.772868875682
SKU603,15960.784201713781
SKU713,15906.55510686496
SKU355,15059.509603072971
SKU336,14231.268273831438
SKU299,14018.975081256765
SKU428,13944.345021176008
SKU133,13746.730326012013
SKU449,13627.126071111983
SKU293,13368.049331370396
SKU121,13312.598148330555
SKU208,13310.639613907213
SKU300,13164.430217669656
SKU675,13053.455111866328
SKU298,13050.067270757414
SKU482,12911.363045405304
SKU438,12789.267034719658
SKU129,12712.18855355172
SKU442,12125.703535900722
SKU295,11737.484585836692
SKU377,11414.713385206343
SKU744,11405.297744509013
SKU645,11399.54742440658
SKU716,11326.457303260124
SKU484,11298.864966019897
SKU294,10941.663055254607
SKU626,10665.582093962379
SKU388,10649.82350044322
SKU286,10648.512754850777
SKU708,10353.943464985718
SKU36,10260.228978039497
SKU241,10225.397714961093
SKU570,10179.04373091697
SKU478,10033.85842227948
SKU47,10000.913029076186
SKU591,9938.73830394957
SKU292,9866.517974982764
SKU142,9756.477001871366
SKU734,9709.891756131188
SKU448,9644.791201010827
SKU505,9476.606710833039
SKU563,9409.208017334777
SKU358,9284.676548803302
SKU346,9211.245149216982
SKU387,8838.65231951148
SKU333,8788.67152565744
SKU491,8541.233822515514
SKU511,8491.134781008459
SKU89,8275.91440953413
SKU92,8262.037001594894
SKU245,8163.588791490193
SKU682,8120.8548212351025
SKU469,8080.263074953217
SKU225,8043.56485767753
SKU239,8032.095264384739
SKU120,7919.284940411699
SKU354,7873.980431848846
SKU193,7859.768784175321
SKU590,7769.305328474339
SKU230,7747.548606323256
SKU729,7680.977990430615
SKU201,7536.622279129319
SKU375,7529.916970353592
SKU662,7387.563872746976
SKU271,7079.462917364324
SKU721,6942.816310450114
SKU28,6848.637354856978
SKU306,6804.867625332414
SKU752,6771.825309777941
SKU179,6665.739025886395
SKU503,6577.945139367677
SKU177,6540.832955776617
SKU392,6505.251452772577
SKU444,6461.514921698018
SKU720,6380.743721067665
SKU307,6294.7189792663485
SKU537,6139.633605830792
SKU493,5896.095804195808
SKU137,5831.939623756527
SKU211,5806.990347680486
SKU644,5801.560622476117
SKU488,5725.683935782529
SKU673,5614.717718900814
SKU119,5593.141455036197
SKU67,5579.82054565153
SKU664,5572.61154338619
SKU516,5560.49059391313
SKU498,5438.656900993743
SKU551,5436.0612072138365
SKU96,5395.38294687768
SKU93,5347.214616369545
SKU195,5328.250369348959
SKU370,5255.383925933223
SKU6,5219.775291375295
SKU741,4913.827834137694
SKU565,4897.896483797892
SKU269,4746.895166237262
SKU236,4725.512853343839
SKU34,4579.829902491876
SKU431,4425.242785383632
SKU733,4380.574706983158
SKU143,4358.966216881709
SKU255,4221.37062937063
SKU253,4217.850881512853
SKU569,4099.99921205555
SKU643,4017.6449638081167
SKU487,4001.054565153157
SKU530,3997.5736235595386
SKU504,3982.149315473259
SKU497,3858.5952643847377
SKU485,3835.094750320101
SKU466,3798.5973603860925
SKU736,3753.514035260514
SKU517,3740.1077514035255
SKU345,3718.713976164682
SKU267,3703.238156209985
SKU536,3568.8663967611315
SKU481,3382.5422042745986
SKU170,3381.975179749828
SKU522,3370.073771299124
SKU254,3332.1402541120865
SKU52,3327.4442890442883
SKU107,3314.2741749478564
SKU748,3309.553924948289
SKU459,3257.741160248204
SKU322,3212.3049345021154
SKU313,3207.1235102925257
SKU458,3205.0263961390697
SKU277,3169.583177385995
SKU717,3143.885255589481
SKU169,3142.434748350241
SKU229,3094.597458879152
SKU66,3075.661183886534
SKU304,3055.4854722742043
SKU329,3046.322663252239
SKU332,2891.983847138776
SKU46,2883.6147936570474
SKU281,2823.73544765094
SKU226,2792.273009446693
SKU753,2753.1124790702243
SKU48,2612.7894614157776
SKU674,2574.8301979710427
SKU532,2552.3856900542537
SKU360,2511.0250172362867
SKU580,2426.3649167733674
SKU90,2389.0453068058714
SKU334,2315.3708263567432
SKU98,2298.9147050132956
SKU477,2293.258103300209
SKU206,2272.2541037909427
SKU395,2253.079976361667
SKU656,2236.053974194819
SKU455,2153.069142125479
SKU43,2149.9718930192616
SKU95,2097.350044321876
SKU557,2069.525460455038
SKU628,2063.089136215897
SKU54,2031.4202061096787
SKU502,1987.704931910195
SKU39,1974.2994188909672
SKU144,1884.8448734364224
SKU745,1842.2861223283767
SKU106,1792.7242792295442
SKU118,1788.5244755244753
SKU272,1770.5743130109336
SKU393,1704.481926524181
SKU340,1641.0954397714952
SKU29,1553.4808431005615
SKU316,1534.704028366
SKU37,1505.4551364128833
SKU519,1468.8431990544668
SKU501,1432.220427459863
SKU461,1425.1326701467533
SKU343,1378.6643111274705
SKU188,1330.3381302907621
SKU679,1328.2453462030933
SKU291,1300.8443809711418
SKU164,1198.3920023638334
SKU296,1150.792081158278
SKU714,1104.270658918546
SKU585,1101.555106864966
SKU197,1081.196493647198
SKU99,1077.210479661184
SKU2,1071.8092626671582
SKU273,1063.223579237664
SKU124,1055.0544666601024
SKU181,1035.656653205949
SKU33,981.7150595882995
SKU162,978.6986112479077
SKU651,975.8375849502606
SKU305,972.7560326996938
SKU663,952.1030237368273
SKU176,936.476804885255
SKU659,917.3800847040281
SKU194,911.1778309409891
SKU31,882.5875110804684
SKU457,882.1538461538461
SKU175,849.8801339505563
SKU256,823.280606717227
SKU494,808.2565744115038
SKU167,807.0609672018124
SKU447,796.8237959223877
SKU508,756.5627893233527
SKU416,753.576775337339
SKU462,705.8583669851274
SKU199,694.2522407170302
SKU499,693.9127351521716
SKU684,688.4348468432976
SKU653,663.6856101644833
SKU723,654.4782822810994
SKU248,645.0097508125676
SKU11,625.2080173347778
SKU159,615.1948192652419
SKU525,609.450113267014
SKU145,605.415345218162
SKU450,599.8790505269376
SKU87,582.0783019797102
SKU719,581.4013592041762
SKU576,577.0762336255294
SKU348,572.0113267014674
SKU101,566.1922584457794
SKU349,565.8650645129519
SKU523,542.1709851551954
SKU660,525.3449226829509
SKU152,477.9385403329065
SKU139,456.9781008465219
SKU108,451.11466077781887
SKU558,436.4986703437405
SKU168,393.8260612626809
SKU324,383.3096621688171
SKU103,366.797399092136
SKU258,348.4412488919529
SKU290,334.8560031517778
SKU347,298.6208017334779
SKU555,248.02383531961
SKU692,235.65921402541113
SKU688,234.72914409534138
SKU506,230.49867034374083
SKU30,229.4598640795823
SKU182,227.79877868610254
SKU154,225.24278538363035
SKU289,215.6190288584656
SKU553,213.8183788042943
SKU49,181.1261696050428
SKU352,150.59942874027382
SKU743,137.74953215798294
SKU727,133.13897370235395
SKU418,127.90190091598538
SKU51,124.08263567418493
SKU451,121.5840638235005
SKU158,117.9114547424407
SKU266,117.88781640894318
SKU146,109.30749532157981
SKU365,106.56672904560234
SKU153,106.27893233527038
SKU510,97.46419777405697
SKU380,93.22348074460756
SKU369,87.20289569585346
SKU110,87.01621886885054
SKU693,76.65960799763612
SKU697,76.46459174628191
