ID,Variance
Store_21_SKU53,2666.3791982665216
Store_4_SKU752,2635.782330345709
Store_11_SKU674,2574.8301979710427
Store_15_SKU551,2571.1649758692015
Store_16_SKU360,2511.0250172362867
Store_1_SKU580,2426.3649167733674
Store_10_SKU477,2398.7920811582776
Store_9_SKU90,2389.0453068058714
Store_14_SKU334,2315.3708263567432
Store_11_SKU98,2298.9147050132956
Store_5_SKU395,2253.079976361667
Store_18_SKU656,2236.053974194819
Store_6_SKU1,2205.540923864868
Store_9_SKU54,2191.7722840539745
Store_4_SKU455,2153.069142125479
Store_21_SKU438,2103.3080862799156
Store_1_SKU95,2097.350044321876
Store_3_SKU557,2069.525460455038
Store_8_SKU628,2063.089136215897
Store_4_SKU536,2038.3911159263262
Store_10_SKU39,1974.2994188909672
Store_1_SKU269,1971.1222298827938
Store_21_SKU477,1936.0514133753563
Store_8_SKU135,1935.309268196591
Store_11_SKU144,1884.8448734364224
Store_12_SKU470,1881.3309366689657
Store_1_SKU285,1849.3782133359596
Store_10_SKU745,1842.2861223283767
Store_10_SKU226,1825.0804688269484
Store_11_SKU118,1788.5244755244753
Store_1_SKU272,1770.5743130109336
Store_5_SKU393,1704.481926524181
Store_1_SKU94,1682.165763813652
Store_20_SKU340,1641.0954397714952
Store_20_SKU274,1618.219738008471
Store_10_SKU497,1553.7253028661487
Store_10_SKU29,1553.4808431005615
Store_15_SKU43,1536.947995666306
Store_16_SKU316,1534.704028366
Store_10_SKU37,1505.4551364128833
Store_19_SKU2,1482.2669161824092
Store_16_SKU54,1479.293903279818
Store_21_SKU519,1468.8431990544668
Store_5_SKU501,1432.220427459863
Store_4_SKU461,1425.1326701467533
Store_8_SKU293,1407.0197971043044
Store_11_SKU679,1328.2453462030933
Store_1_SKU92,1313.6880724908904
Store_2_SKU291,1300.8443809711418
Store_4_SKU532,1276.0068945139371
Store_12_SKU52,1228.3802816901411
Store_12_SKU119,1223.957549492761
Store_17_SKU164,1198.3920023638334
Store_10_SKU206,1173.1465576676846
Store_14_SKU343,1165.7722840539736
Store_16_SKU296,1150.792081158278
Store_12_SKU714,1104.270658918546
Store_14_SKU585,1101.555106864966
Store_9_SKU197,1081.196493647198
Store_1_SKU99,1077.210479661184
Store_20_SKU273,1063.223579237664
Store_11_SKU124,1055.0544666601024
Store_21_SKU532,1038.6592140254115
Store_6_SKU181,1035.656653205949
Store_10_SKU502,1014.5469319412983
Store_8_SKU33,981.7150595882995
Store_18_SKU162,978.6986112479077
Store_4_SKU651,975.8375849502606
Store_2_SKU305,972.7560326996938
Store_11_SKU663,952.1030237368273
Store_1_SKU176,936.476804885255
Store_13_SKU659,917.3800847040281
Store_5_SKU28,890.5357037328869
Store_17_SKU31,882.5875110804684
Store_4_SKU457,882.1538461538461
Store_18_SKU216,853.87245149217
Store_13_SKU175,849.8801339505563
Store_6_SKU188,834.3587117108241
Store_1_SKU354,826.9434649857186
Store_18_SKU256,823.280606717227
Store_13_SKU193,811.8405397419484
Store_10_SKU494,808.2565744115038
Store_4_SKU643,808.1638924455827
Store_18_SKU167,807.0609672018124
Store_19_SKU447,796.8237959223877
Store_17_SKU139,785.1669457303258
Store_12_SKU508,756.5627893233527
Store_10_SKU416,753.576775337339
Store_6_SKU462,705.8583669851274
Store_10_SKU199,694.2522407170302
Store_10_SKU499,693.9127351521716
Store_12_SKU684,688.4348468432976
Store_12_SKU532,686.2485964739484
Store_15_SKU523,678.5075347188025
Store_4_SKU653,663.6856101644833
Store_11_SKU723,654.4782822810994
Store_10_SKU248,645.0097508125676
Store_20_SKU263,636.7597754358319
Store_19_SKU11,625.2080173347778
Store_1_SKU448,620.3694474539545
Store_18_SKU159,615.1948192652419
Store_15_SKU525,609.450113267014
Store_14_SKU145,605.415345218162
Store_18_SKU450,599.8790505269376
Store_1_SKU87,582.0783019797102
Store_5_SKU719,581.4013592041762
Store_20_SKU576,577.0762336255294
Store_12_SKU675,575.4526740864768
Store_13_SKU48,574.155422042746
Store_1_SKU348,572.0113267014674
Store_1_SKU101,566.1922584457794
Store_14_SKU349,565.8650645129519
Store_5_SKU188,558.1521717718899
Store_3_SKU193,557.001969861125
Store_9_SKU660,525.3449226829509
Store_13_SKU194,506.6742834630158
Store_10_SKU106,499.6934896089824
Store_18_SKU152,477.9385403329065
Store_15_SKU103,471.3283758495028
Store_12_SKU343,441.1525657441151
Store_10_SKU558,436.4986703437405
Store_15_SKU206,432.81512853343827
Store_14_SKU108,421.8094159361763
Store_18_SKU168,393.8260612626809
Store_8_SKU155,389.0826356741846
Store_11_SKU324,383.3096621688171
Store_5_SKU493,367.96109524278546
Store_18_SKU258,348.4412488919529
Store_12_SKU502,340.72195410223577
Store_10_SKU523,336.04274598640797
Store_16_SKU290,334.8560031517778
Store_14_SKU347,298.6208017334779
Store_6_SKU219,292.9315473259135
Store_17_SKU555,248.02383531961
Store_16_SKU692,235.65921402541113
Store_16_SKU688,234.72914409534138
Store_5_SKU506,230.49867034374083
Store_12_SKU30,229.4598640795823
Store_16_SKU179,229.27331823106474
Store_13_SKU182,227.79877868610254
Store_18_SKU154,225.24278538363035
Store_15_SKU107,224.9621786664039
Store_16_SKU289,215.6190288584656
Store_2_SKU553,213.8183788042943
Store_12_SKU28,212.59135230966217
Store_1_SKU216,207.24918743228605
Store_1_SKU49,181.1261696050428
Store_4_SKU84,180.81158278341374
Store_1_SKU752,153.50300403821538
Store_14_SKU352,150.59942874027382
Store_21_SKU73,141.52043730916964
Store_1_SKU743,137.74953215798294
Store_14_SKU16,135.3194129813848
Store_8_SKU727,133.13897370235395
Store_13_SKU418,127.90190091598538
Store_16_SKU497,124.3423618634886
Store_10_SKU51,124.08263567418493
Store_9_SKU451,121.5840638235005
Store_18_SKU158,117.9114547424407
Store_1_SKU266,117.88781640894318
Store_14_SKU146,109.30749532157981
Store_16_SKU365,106.56672904560234
Store_11_SKU153,106.27893233527038
Store_12_SKU108,105.22584457795725
Store_12_SKU510,97.46419777405697
Store_13_SKU110,94.64040185166948
Store_12_SKU380,93.22348074460756
Store_11_SKU369,87.20289569585346
Store_10_SKU194,81.1890081749237
Store_5_SKU110,80.0032502708559
Store_16_SKU693,76.65960799763612
Store_16_SKU697,76.46459174628191
Store_13_SKU185,74.53570373288682
Store_8_SKU163,73.99507534718805
Store_14_SKU103,71.2511572934108
Store_18_SKU161,70.06402048655566
Store_16_SKU239,67.47650940608683
Store_10_SKU410,61.36954594701076
Store_14_SKU139,57.54368167044224
Store_11_SKU552,50.44577957254018
Store_10_SKU187,46.04688269476999
Store_1_SKU6,44.8622082143209
Store_10_SKU424,43.865064512951854
Store_18_SKU165,41.50684526740868
Store_13_SKU330,36.25943071013495
Store_12_SKU104,31.271249876883694
Store_11_SKU551,30.85383630454052
Store_11_SKU106,25.062050625430917
Store_8_SKU5,23.339998030138887
Store_8_SKU26,22.57894218457599
Store_8_SKU415,20.54870481631044
Store_12_SKU112,18.439180537772096
Store_12_SKU114,18.369841426179455
Store_8_SKU2,17.096523195114745
Store_15_SKU532,15.198660494435149
Store_12_SKU111,13.397419481926534
Store_2_SKU43,11.988476312419978
Store_12_SKU337,11.156899438589575
Store_11_SKU549,9.462720378213337
Store_8_SKU696,8.447552447552443
Store_8_SKU9,8.186151876292724
Store_8_SKU691,7.735447650940606
Store_12_SKU113,7.257854821235102
Store_1_SKU274,6.439968482222
Store_10_SKU413,6.251748251748253
Store_21_SKU213,4.470501329656263
Store_15_SKU544,3.7957254013592028
Store_8_SKU307,3.241406480843101
Store_1_SKU456,3.033881611346397
Store_21_SKU56,2.5870186151876275
Store_10_SKU408,2.2502708559046587
Store_12_SKU116,2.0340785974588784
Store_3_SKU548,1.8508815128533438
Store_11_SKU547,1.7035359007189985
Store_10_SKU205,1.3439377523884564
Store_1_SKU650,0.0
